# Pick And Place List
# Company=
# Author=
# eMail=
#
# Project=24h_clock
# Date=12:24:31
# CreatedBy=Fritzing 1.0.4.2024-10-07.0.9.6-2244-ga8c6ef7c
#
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB
# Rotation in degree (0-360, math. pos.)
#
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
D92,";;;;;;;;","300 mil [THT]",2092.64,3640.26,-90,Top,THT
D65,";;;;;;;;","300 mil [THT]",1009.96,2574.54,90,Top,THT
Via252,";;;;;;;;","",409.566,6896.78,0,Top,MANUAL
J-5,";;;;;;;;","THT",4198.93,1404.65,180,Bottom,THT
D78,";;;;;;;;","300 mil [THT]",1502.09,2968.24,90,Top,THT
Via247,";;;;;;;;","",409.566,7388.9,0,Top,MANUAL
R48,"220;;;;;0.25;;;","THT",2614.29,7198.74,90,Top,THT
R36,"220;;;;;0.25;;;","THT",1069.02,4799.89,90,Top,THT
J-4,";;;;;;;;","THT",1610.35,7487.33,0,Bottom,THT
Q24,";;;;;;;;","TO92 [THT]",2591.11,4414.11,90,Top,THT
Via17,";;;;;;;;","",2043.42,1010.94,0,Top,MANUAL
R37,"220;;;;;0.25;;;","THT",872.16,4799.89,90,Top,THT
D144,";;;;;;;;","300 mil [THT]",1856.42,5244.59,90,Top,THT
D137,";;;;;;;;","300 mil [THT]",1954.84,5244.59,90,Top,THT
Via11,";;;;;;;;","",1551.3,961.733,0,Top,MANUAL
D40,";;;;;;;;","300 mil [THT]",1846.57,1376.48,-90,Top,THT
Via58,";;;;;;;;","",2791.45,2940.08,0,Top,MANUAL
Via87,";;;;;;;;","",3411.53,3707.79,0,Top,MANUAL
Q38,";;;;;;;;","TO92 [THT]",3996.16,1204.3,0,Top,THT
D114,";;;;;;;;","300 mil [THT]",2151.69,4850.89,90,Top,THT
R3,"220;;;;;0.25;;;","THT",1006.81,390.862,0,Top,THT
